run_date,status,scrapers_ok,scrapers_failed,articles_scraped,articles_ok,avg_compression,avg_rouge1,avg_rouge2,avg_rougeL
2026-04-20T05:49:11Z,SUCCESS,3,0,30,24,68.1683,0.2427,0.2126,0.2157
2026-04-20T06:21:43Z,SUCCESS,3,0,30,29,73.2607,0.2272,0.2017,0.2042
2026-04-20T22:04:04Z,SUCCESS,3,0,30,29,85.7841,0.2603,0.2272,0.2387
2026-04-21T22:05:19Z,SUCCESS,3,0,30,28,87.9196,0.2378,0.2112,0.2226
2026-04-22T22:10:24Z,SUCCESS,3,0,30,27,-16.3159,0.2372,0.2087,0.2243
2026-04-23T22:03:51Z,SUCCESS,3,0,30,29,0.8579,0.2217,0.1968,0.2062
2026-04-24T22:04:06Z,SUCCESS,3,0,30,29,64.0214,0.2326,0.2091,0.2132
2026-04-25T22:03:59Z,SUCCESS,3,0,30,30,89.5433,0.2256,0.207,0.2171
2026-04-26T22:03:47Z,SUCCESS,3,0,30,30,87.2733,0.2518,0.2291,0.2399
2026-04-27T22:05:46Z,SUCCESS,3,0,30,29,88.2672,0.2361,0.2179,0.2257
2026-04-28T22:04:18Z,SUCCESS,3,0,30,30,88.9293,0.2302,0.2124,0.2216
2026-04-29T22:05:48Z,SUCCESS,3,0,30,30,39.8003,0.2547,0.238,0.2454
2026-04-30T22:03:02Z,SUCCESS,3,0,15,15,-40.936,0.2591,0.233,0.2416

2026-05-01T22:03:03Z,SUCCESS,3,0,15,15,82.6733,0.3271,0.3105,0.3095
2026-05-02T22:03:03Z,SUCCESS,3,0,15,15,90.8807,0.2513,0.2259,0.2339
2026-05-03T22:03:05Z,SUCCESS,3,0,15,15,89.4667,0.2715,0.2439,0.2392
